Returnista;No;No;The Netherlands;Ecommerce;2980.4;213.5;3296000;107000;28;7;2017
Stoov Heating Cushions;No;No;The Netherlands;Ecommerce;2711.6;204.1;16448000;585000;8;2;2014
Baroni;Yes;No;Italy;Ecommerce;2473.6;195.2;3892754;151258;1;1;2016
Matt Sleeps;Yes;No;The Netherlands;Ecommerce;2425.7;193.4;17091005;676673;6;8;2016
WLDOHO;No;No;Germany;Ecommerce;2087.4;179.7;4241933;193923;22;1;2018
Motorway;Yes;No;UK;Ecommerce;1993.2;175.6;23645861;1057586;227;21;2017
KoRo;No;No;Germany;Ecommerce;1909.3;171.9;61525228;3062056;248;25;2014
Love2Dogs;No;No;Czech Republic;Ecommerce;1808.7;167.2;2217434;112455;15;2;2017
BeGreat;Yes;No;Germany;Ecommerce;1632.2;158.7;9547006;551147;17;3;2012
Extra Mile Live Service;Yes;No;Germany;Ecommerce;1426.6;148.1;4077195;267085;5;3;2017
TeppichWorld.de MeBa Sales;No;No;Germany;Ecommerce;1333.3;142.9;7980000;556771;6;2;2017
Blochergroup;No;No;Germany;Ecommerce;1218.1;136.2;2699038;204771;4;1;2017
Winelivery;Yes;No;Italy;Ecommerce;1189.2;134.5;8931000;692778;15;1;2015
Ergotopia;Yes;No;Germany;Ecommerce;1110.5;129.6;19538000;1614000;44;15;2014
Popsa;Yes;No;UK;Ecommerce;1070.1;127.0;30166537;2413543;45;11;2016
Online-Phones 24;No;No;Germany;Ecommerce;1061.9;126.5;12663861;1089973;12;1;2018
Econelo;No;No;Germany;Ecommerce;1028.0;124.3;9451933;837956;28;7;2017
Fenstermaxx24;Yes;No;Germany;Ecommerce;905.5;115.8;15374000;1529000;25;10;2016
earlybird coffee;No;No;Germany;Ecommerce;899.2;115.4;1849270;185083;8;4;2015
Bizon;No;No;France;Ecommerce;893.7;115.0;7689021;773799;45;15;2016
Treedom;Yes;No;Italy;Ecommerce;867.4;113.1;12779998;1321042;64;21;2010
Cybertec24;No;No;Germany;Ecommerce;816.4;109.3;4473814;488213;3;1;2015
Everli;Yes;Yes;Italy;Ecommerce;724.3;102.0;114502088;13890311;280;83;2014
Emma - The Sleep Company;No;No;Germany;Ecommerce;701.7;100.1;645448847;80508151;553;43;2013
Vtrace;No;No;Germany;Ecommerce;678.3;98.2;29117892;3741296;19;12;2016
Ponera;Yes;No;France;Ecommerce;599.3;91.2;39863906;5700452;37;8;2013
Riluxa;Yes;No;Spain;Ecommerce;589.4;90.3;6027775;874393;17;8;2016
Born Originals;No;No;Germany;Ecommerce;557.3;87.3;2003011;304713;14;6;2014
Steamulation;No;No;Germany;Ecommerce;548.3;86.5;6001480;925770;10;5;2015
Ideal Ceramiche di Giacomo La Russa;Yes;No;Italy;Ecommerce;538.6;85.5;5582345;874220;12;5;1986
Sbamm;Yes;No;Italy;Ecommerce;520.0;83.7;3685444;594400;7;3;2016
